"species","habitat_taxref","pf"
"Acropora florida",1,"P"
"Gymnothorax nudivomer",1,"P"
"Munida fornacis",1,"P"
"Hologymnosus annulatus",1,"P"
"Montipora verrilli",1,"P"
"Micrognathus pygmaeus",1,"P"
"Gonodactylellus rubriguttatus",1,"P"
"Paracirrhites xanthus",1,"P"
"Gymnothorax elegans",1,"P"
"Porites australiensis",1,"P"
"Synarea convexa",1,"P"
"Planiliza alata",1,"P"
"Cycloseris wellsi",1,"P"
"Oxypora echinata",1,"P"
"Kyphosus bigibbus",1,"P"
"Atrosalarias fuscus",1,"P"
"Lithophyllon scabra",1,"P"
"Alpheus oahuensis",1,"P"
"Liopropoma mitratum",1,"P"
"Favites abdita",1,"P"
"Scintillosergia scintillans",1,"P"
"Anampses meleagrides",1,"P"
"Kuhlia boninensis",4,"D"
"Gunnellichthys curiosus",1,"P"
"Neogoneplax renoculis",1,"P"
"Leptoseris scabra",1,"P"
"Dipsastraea favus",1,"P"
"Oxycirrhites typus",1,"P"
"Balaenoptera edeni",1,"A"
"Thalamita macropus",1,"P"
"Encheliophis vermicularis",1,"P"
"Mobula tarapacana",1,"P"
"Planiliza macrolepis",4,"P"
"Cephalopholis polleni",1,"P"
"Helcogramma chica",1,"P"
"Liomera laperousei",1,"P"
"Alveopora spongiosa",1,"P"
"Encrasicholina punctifer",1,"P"
"Phorcosergia potens",1,"P"
"Hippocampus trimaculatus",1,"P"
"Bathymenes aleator",1,"P"
"Ophichthus bonaparti",1,"P"
"Scarus festivus",1,"P"
"Pleuractis gravis",1,"P"
"Corythoichthys schultzi",1,"P"
"Choeroichthys sculptus",1,"P"
"Cycloseris distorta",1,"P"
"Pseudopalicus oahuensis",1,"P"
"Lobophyllia costata",1,"P"
"Scuticaria tigrina",1,"P"
"Dipsastraea laddi",1,"P"
"Oxyurichthys papuensis",1,"P"
"Munida erugata",1,"P"
"Parhippolyte uveae",1,"P"
"Priolepis cincta",1,"P"
"Uropterygius polyspilus",1,"P"
"Montipora australiensis",1,"P"
"Acanthephyra stylorostratis",1,"D"
"Rhabdoblennius nitidus",1,"P"
"Turbinaria mesenterina",1,"P"
"Stenogobius genivittatus",4,"P"
"Arothron manilensis",1,"P"
"Antennarius striatus",1,"P"
"Antennatus analis",1,"P"
"Munida ignea",1,"P"
"Leptoseris fragilis",1,"P"
"Ctenogobiops aurocingulus",1,"P"
"Quasimitra cardinalis",1,"P"
"Vexilla vexillum",1,"P"
"Harpago arthriticus",1,NA
"Cyrtulus serotinus",1,"E"
"Luria lurida",1,NA
"Libera incognata",3,"E"
"Succinea procera",3,"E"
"Nebularia eremitarum",1,"P"
"Trochus stellatus",1,NA
"Helicina platychila",3,NA
"Neritina canalis",2,"P"
"Chicoreus thomasi",1,"P"
"Trochomorpha ludersi var. corallina",3,"A"
"Omphalotropis oblonga",3,"E"
"Pollia krauseri",1,"E"
"Nassarius arcularia",1,NA
"Samoana gonochila",3,"E"
"Aphanoconia faba",3,"E"
"Partula mooreana",3,"Z"
"Miocalles orbiculus",3,"E"
"Plectranthias polygonius",1,"P"
"Plectranthias hinano",1,"E"
"Leucascus simplex",1,"P"
"Ascandra crewsi",1,"P"
"Ichnopus annasona",1,NA
"Parupeneus trifasciatus",1,"Q"
"Melanozosteria nitida",3,"P"
"Halichoeres melanurus",1,"P"
"Glossomaera octodens",1,"P"
"Foa fo",1,"P"
"Bulla vernicosa",1,"P"
"Pachygrapsus laevimanus",1,"P"
"Paragrubia vorax",1,"P"
"Lienardia rubida",1,NA
"Entomacrodus epalzeocheilos",1,"P"
"Cautor granulatus",1,"P"
"Stephanometra indica indica",1,"D"
"Myurellopsis undulata",1,"P"
"Macteola interrupta",1,"P"
"Cirripectes polyzona",1,NA
"Kermia tessellata",1,"P"
"Thala exilis",1,NA
"Codakia tigerina",1,"P"
"Tethygeneia pacifica",1,"P"
"Pseudovertagus clava",1,"P"
"Hastula strigilata",1,"P"
"Julia exquisita",1,"P"
"Ophiarachnella gorgonia",1,"P"
"Stercorarius parasiticus",5,"B"
"Eratoena gemma",1,NA
"Nesodiscus obolus",3,"E"
"Nesodiscus fictus",3,"E"
"Tubipora musica",1,NA
"Volvarina paumotensis",1,"P"
"Cardiocondyla nuda var. mauritanica",3,NA
"Pitys pagodiformis",3,"E"
"Thalassoma lunare",1,"P"
"Atergatis integerrimus",1,"P"
"Eucithara gracilis",1,NA
"Helicina trochlea",3,"E"
"Anceyodonta sexlamellata",3,"Z"
"Nesopupa tantilla",3,"P"
"Iphione ovata",1,"P"
"Dascyllus marginatus reticulatus",1,"P"
"Albula vulpes",1,NA
"Trapezicepon amicorum",1,"E"
"Succinea mammillata",3,"E"
"Tubuaia voyana",3,"C"
"Antonella tenuis",3,"E"
"Mautodontha parvidens",3,"Z"
"Strigatella testacea",1,"P"
"Sulcorissoina imbricata",1,"P"
"Taitaa striatula",3,"E"
"Sturanya multicolor",3,"E"
"Mammilla melanostoma",1,"P"
"Melanella acicula",1,NA
"Cryptops mirus",3,"E"
"Partula producta",3,"Z"
"Corculum cardissa",1,"P"
"Strobilus acicularis acicularis",3,"E"
"Lambis pilsbryi",1,"P"
"Pleuropoma raiatensis",3,"E"
"Partula cytherea",3,"Z"
"Strobilus turritus",3,"E"
"Succinea dolphin",3,"E"
"Celticola anatonuensis",3,"E"
"Chicoreus ramosus",1,"P"
"Tellinella virgata",1,"P"
"Apopitys andersoni",3,"E"
"Collonista picta",1,"P"
"Trochomorpha assimilis",3,"E"
"Angustassiminea lucida",3,"S"
"Lysiosquilla maculata",1,"P"
"Hypoponera punctatissima",3,"I"
"Electrina succinea",3,"Z"
"Mitiperua simplex convexior",3,"E"
"Trivirostra corrugata",1,"P"
"Pollia fumosa",1,"P"
"Libera cavernula",3,"E"
"Trigoniulus corallinus",3,"P"
"Philonesia fusca",3,"E"
"Atergatis ocyroe",1,"D"
"Epinephelus fuscoguttatus",1,NA
"Lamellidea mumfordi",3,"E"
"Liardetia normalis",3,"E"
"Lamellidea uahukana",3,"E"
"Partula bilineata",3,"Z"
"Gehyra insulensis",3,"P"
"Fistularia petimba",1,"P"
"Antonella trochlearis",3,"E"
"Omphalotropis dubia",3,"E"
"Pterois cincta",1,"P"
"Petrolisthes rufescens",1,"P"
"Tubuaia cylindrata",3,"E"
"Planaxis sulcatus",1,"P"
"Serrata raiatea",1,"P"
"Atrina vexillum",1,"P"
"Caranx hippos caninus",1,NA
"Peristernia lirata",1,"P"
"Serrata tahanea",1,"P"
"Mecistocephalus angustior",3,"E"
"Decapterus muroadsi",1,"P"
"Cuvierina columnella f. atlantica",1,NA
"Neritilia rubida",2,"P"
"Scarus prasiognathos",1,"P"
"Pempheris otaitensis",1,"P"
"Juxtaxanthias lividus",1,NA
"Helicina calliostoma",3,"E"
"Eviota zonura",1,"P"
"Junonia villida",3,"P"
"Partula planilabrum",3,"Z"
"Stiphodon tuivi",4,"E"
"Bathygobius fuscus",1,"P"
"Kelloggella tricuspidata",1,"E"
"Chromis ternatensis",1,"P"
"Lutjanus lutjanus",1,NA
"Parupeneus forsskali",1,NA
"Zebrasoma flavescens",1,"P"
"Sternochetus mangiferae",3,"I"
"Thelyphassa lateritia",3,"P"
"Adoretus versutus",3,"I"
"Raiateana oulietea",3,"E"
"Rhyncogonus cordiformis",3,"E"
"Oopsis oblongipennis",3,"P"
"Metacolpodes monticola",3,"E"
"Necrobia rufipes",3,"I"
"Ceresium olidum",3,"P"
"Rhyncogonus sparsus",3,"E"
"Plaesius javanus",3,"I"
"Lampadena luminosa",1,"P"
"Strepsicrates dyselia",3,"I"
"Thalassodes pilaria",3,"P"
"Paramugil georgii",4,"P"
"Gnathothlibus erotus eras",3,"P"
"Chrysomya rufifacies",3,"I"
"Rhomphaea cometes",3,"D"
"Strigatella auriculoides",1,"P"
"Cyclopecten cancellus",1,"P"
"Cryptopecten nux",1,"P"
"Nassarius cernohorskyi",1,"P"
"Semipallium rapanense",1,"P"
"Parvamussium multiliratum",1,"P"
"Pseudodaphnella nexa",1,"P"
"Naria bernardi",1,"P"
"Mirapecten mirificus",1,"P"
"Parvamussium undosum",1,NA
"Vexillum crocatum",1,"P"
"Propeamussium watsoni",1,"P"
"Gloripallium spiniferum",1,"P"
"Anguipecten superbus",1,"P"
"Parvamussium scitulum",1,"P"
"Punctoterebra swainsoni",1,"P"
"Monoplex gemmatus",1,"P"
"Parvamussium australanum",1,"P"
"Melicerona felina",1,NA
"Conus pertusus",1,"P"
"Parvamussium dautzenbergi",1,"P"
"Nassarius tangaroai",1,"P"
"Conasprella pagoda",1,NA
"Conus litteratus",1,"P"
"Conus nussatella",1,"P"
"Bulla punctulata",1,"P"
"Parvamussium marquesanum",1,"P"
"Mammilla simiae",1,"P"
"Purpuradusta serrulifera",1,"P"
"Anguipecten pacificus",1,"P"
"Parvamussium lozoueti",1,"P"
"Palmadusta ziczac",1,"P"
"Parvamussium polynesianum",1,"P"
"Scaeochlamys lemniscata",1,NA
"Pascahinnites pasca",1,"P"
"Pupa solidula",1,"P"
"Talostolida pellucens jacksoni",1,NA
"Antisabia foliacea",1,"P"
"Purpuradusta minoridens",1,NA
"Aspidosiphon laevis",1,"P"
"Albula oligolepis",1,NA
"Lutjanus russellii",1,NA
"Pardalinops testudinaria",1,NA
"Nassarius semisulcatus",1,NA
"Aoroides palfreyensis",1,"P"
"Coralliophila clathrata",1,"P"
"Zebina bidentata",1,"P"
"Broderipia rosea",1,"P"
"Purpura persica",1,"P"
"Stosicia abnormis",1,NA
"Natatolana albicaudata",1,NA
"Epinephelus howlandi",1,NA
"Nassarius distortus",1,NA
"Nanaphora triticea",1,"P"
"Trivirostra bocki",1,"P"
"Pseudanthias tuka",1,NA
"Conus musicus parvatus",1,NA
"Partula mirabilis",3,"Z"
"Samoana dryas",3,"E"
"Omphalotropis robusta",3,"E"
"Partula tohiveana",3,"Z"
"Mendana angulifera",3,"E"
"Mendana garrettiana",3,"E"
"Georissa striata",3,"P"
"Samoana decussatula",3,"E"
"Philonesia pura",3,"E"
"Samoana burchi",3,"E"
"Mendana subvenosa",3,"E"
"Mautodontha consobrina",3,"Z"
"Omphalotropis costata",3,"E"
"Samoana margaritae",3,"E"
"Omphalotropis geometrica",3,"E"
"Partula aurantia",3,"Z"
"Truncatella semicostata",5,"A"
"Lamprocystis simillima",3,"E"
"Samoana diaphana",3,"E"
"Partula arguta",3,"Z"
"Hiona callifera",3,"D"
"Microcystis saintjohni",3,"E"
"Pukaloa obconica",3,"E"
"Mendana thais",3,"E"
"Partula labrusca",3,"Z"
"Partula meyeri",3,"E"
"Microcystis aspera",3,"E"
"Microcystis lenticula",3,"E"
"Samoana bellula",3,"E"
"Aphanoconia rusticana",3,"E"
"Microcystis fosbergi",3,"E"
"Bactrocera perfusca",3,"E"
"Chelophyes contorta",1,NA
"Liriomyza brassicae",3,"P"
"Bactrocera kirki",3,"P"
"Tringa flavipes",8,"B"
"Simulium oviceps",8,"E"
"Simulium rurutuense",8,"E"
"Simulium buissoni",8,"E"
"Simulium gallinum",8,"E"
"Simulium lotii",8,"E"
"Simulium malardei",8,"E"
"Simulium exasperans",8,"E"
"Simulium cheesmanae",8,"E"
"Simulium dojeycorium",8,"E"
"Simulium evenhuisi",8,"E"
"Simulium maraaense",8,"E"
"Simulium dussertorum",8,"E"
"Simulium shannonae",8,"E"
"Simulium cataractarum",8,"E"
"Simulium tahitiense",8,"E"
"Simulium lonckei",8,"E"
"Labahitha marginata",3,"P"
"Swezeyia lyricen",3,"P"
"Trachemys scripta",8,"I"
"Conus arenatus",1,"P"
"Synopia ultramarina",1,"P"
"Alisimitra tehuaorum",1,"P"
"Drosophila simulans",3,"I"
"Theridion melanostictum",3,"I"
"Takashius kuroseanus",1,NA
"Tachysphex fanuiensis",3,"P"
"Pagodibela pacifica",1,"P"
"Trochocyathus cooperi",1,"P"
"Caridina weberi var. typica",2,"Q"
"Macrobrachium aemulum",2,"P"
"Caridina serratirostris",4,"P"
"Sicyopterus caudimaculatus",4,"E"
"Hydrotetrix hivaoana",3,"E"
"Trachyrhizium urniformis",5,"P"
"Aulographis japonica",1,"P"
"Euplotes qatarensis",1,"P"
"Gehyra mutilata",3,"P"
"Hemidactylus garnotii",3,"P"
"Symphysanodon maunaloae",1,"P"
"Hemiphyllodactylus typus",3,"P"
"Zapogon evermanni",1,"P"
"Coryphaena equiselis",1,"P"
"Axinella profunda",1,"P"
"Acarnus ternatus",1,"P"
"Cladorhiza abyssicola var. linearis",1,"P"
"Luffariella variabilis",1,NA
"Goniastrea retiformis",1,NA
"Dascyllus reticulatus",1,"P"
"Paramedaeus simplex",1,"P"
"Siriella thompsonii",1,NA
"Asymphorodes leucoloma",3,"E"
"Eustomias bifilis",1,"P"
"Coenobita brevimanus",3,"P"
"Carposina paracrinifera",3,"E"
"Erechthias coprosoma",3,"E"
"Gobiodon ceramensis",1,"P"
"Troendleina marquesana",1,"P"
"Cosmopterix nonna",3,"E"
"Petrolisthes borradailei",1,"P"
"Heliacus implexus",1,"P"
"Manaxius poupini",1,"P"
"Bathymunida avatea",1,"P"
"Heteronida clivicola",1,"P"
"Munida glabella",1,"P"
"Munida polynoe",1,"P"
"Stenopus tenuirostris",1,"P"
"Thyraplax cristata",1,"P"
"Thyraplax cooki",1,"P"
"Pontonides loloata",1,"P"
"Plesionika semilaevis",1,"P"
"Aegaeon rathbuni",1,"P"
"Heterocarpus parvispina",1,"P"
"Maorrancaris investigatoris",1,"P"
"Aegaeon lacazei",1,"P"
"Plesionika carsini",1,"P"
"Plesionika martia",1,"P"
"Plesionika reflexa",1,"P"
"Heterocarpus dorsalis",1,"P"
"Garymunida simillima",1,"P"
"Aristaeopsis edwardsiana",1,"P"
"Thyraplax digitodentata",1,"P"
"Aristeus virilis",1,NA
"Carcinoplax abyssicola",1,"P"
"Puerulus richeri",1,"P"
"Gonionida rubella",1,"P"
"Munida antliae",1,"P"
"Samadinia longispina",1,NA
"Gonionida arae",1,"P"
"Stereomastis aculeata",1,NA
"Stereomastis surda",1,"P"
"Bathyarctus rubens",1,"D"
"Heterocarpus laevigatus",1,"P"
"Dromidiopsis richeri",1,"P"
"Cryptodromia erioxylon",1,"P"
"Tumidodromia dormia",1,"P"
"Cardiodectes bellottii",1,"P"
"Lewindromia unidentata",1,"P"
"Garymunida normani",1,"P"
"Cryptodromia hilgendorfi",1,"P"
"Chlorotocus crassicornis",1,NA
"Metadynomene tuamotu",1,"E"
"Metadynomene devaneyi",1,"P"
"Ethusina crenulata",1,"P"
"Ethusina huilianae",1,"P"
"Galathea bracteosa",1,"P"
"Galathea senta",1,"P"
"Leiogalathea paris",1,"P"
"Ethusa hawaiiensis",1,"P"
"Parathranites tuberosus",1,"P"
"Thalamita simillima",1,"P"
"Janicella spinicauda",1,"P"
"Parapontophilus junceus",1,"P"
"Aristaeomorpha foliacea",1,"P"
"Oplophorus typus",1,"P"
"Systellaspis pellucida",1,"P"
"Xiphonectes longispinosus",1,"P"
"Lupocyclus strigosus",1,"P"
"Xiphonectes paralatibrachium",1,"P"
"Thalamita difficilis",1,"P"
"Laleonectes stridens",1,"P"
"Mursia poupini",1,"P"
"Paliculus kyusyuensis",1,"P"
"Plesionika bifurca",1,"P"
"Plesionika fenneri",1,"P"
"Typhlonida pygmaea",1,NA
"Munida rufiantennulata",1,NA
"Eumunida smithii",1,NA
"Paramunida poorei",1,"P"
"Munida lenticularis",1,"P"
"Munida aulakodes",1,NA
"Gonionida rubrovata",1,"P"
"Munida armilla",1,"P"
"Paramunida antares",1,NA
"Solidobalanus auricoma",1,NA
"Leiogalathea evander",1,"P"
"Systellaspis debilis var. indica",1,"P"
"Carcinoplax velutina",1,"P"
"Paragiopagurus ruticheles",1,"P"
"Sympagurus affinis",1,"P"
"Colossendeis macerrima",1,"P"
"Urnalana insularis",1,NA
"Urnalana margaritata",1,NA
"Heteronika nesisi",1,"P"
"Garymunida aequabilis",1,"P"
"Carcinoplax specularis",1,NA
"Lissocarcinus polybioides",1,"P"
"Homologenus broussei",1,"P"
"Nematopagurus spinulosensoris",1,"P"
"Zeuxo seurati",1,"P"
"Alpheus hailstonei",1,"D"
"Alpheus paradentipes",1,"P"
"Oreotlos potanus",1,"E"
"Echinolatus proximus",1,"P"
"Myra grandis",1,"P"
"Naxioides vaitahu",1,"E"
"Naxioides teatui",1,"E"
"Oncopagurus elevatus",1,"P"
"Bathyarctus chani",1,NA
"Neocallichirus frouini",1,"E"
"Bitias brevis",1,NA
"Carcinoplax uncinata",1,NA
"Michaelimenes platydactylus",1,"P"
"Periclimenes polynesiensis",1,"E"
"Eupontonia oahu",1,"P"
"Periclimenes vicinus",1,"P"
"Periclimenes josephi",1,"E"
"Neopalicus simulus",1,"E"
"Cyrtomaia polynesica",1,"P"
"Munidopsis austellus",1,"P"
"Pachypygus curvatus",1,"P"
"Bonnierilla tahitiensis",1,"P"
"Izucaris crosnieri",1,"E"
"Pontonides tatianae",1,"P"
"Harpiliopsis spinigera",1,"P"
"Harpiliopsis depressa",1,"P"
"Palaemonella dolichodactylus",1,NA
"Paramunida cristata",1,"P"
"Munida rona",1,"P"
"Gnathophausia longispina",1,"P"
"Pentacheles snyderi",1,"P"
"Stereomastis alis",1,"E"
"Crosniera dayrati",1,"P"
"Parapontophilus cornutus",1,"P"
"Parapontophilus longirostris",1,"P"
"Pasiphaea planidorsalis",1,"P"
"Arctides regalis",1,"P"
"Parathranites parahexagonus",1,"P"
"Sicyonia rocroi",1,"E"
"Aristeus mabahissae",1,"P"
"Colossendeis minor",1,"P"
"Phylladiorhynchus cepheus",1,"E"
"Phylladiorhynchus poeas",1,"E"
"Phylladiorhynchus argus",1,"P"
"Phylladiorhynchus idas",1,"E"
"Phylladiorhynchus pulchrus",1,"P"
"Phylladiorhynchus medea",1,"P"
"Phylladiorhynchus butes",1,"P"
"Leiogalathea creusa",1,"P"
"Leiogalathea sinon",1,"P"
"Paragiopagurus bougainvillei",1,"E"
"Nematopagurus richeri",1,"P"
"Ciliopagurus krempfi",1,"P"
"Paragiopagurus oxychelos",1,"P"
"Paragiopagurus umbonatus",1,"P"
"Paragiopagurus fasciatus",1,"E"
"Phylladiorhynchus iphiclus",1,"P"
"Nematocarcinus pseudogracilis",1,"P"
"Pseudopalicus pictus",1,"P"
"Ozius tricarinatus",1,"P"
"Geograpsus stormi",5,"P"
"Leptodius nudipes",1,NA
"Quadrella coronata",1,"P"
"Planes minutus",1,"P"
"Plagusia squamosa",1,"P"
"Laleonectes nipponensis",1,"P"
"Hyastenus uncifer",1,NA
"Paramedaeus octogesimus",1,"P"
"Stenopus pyrsonotus",1,"P"
"Panulirus homarus",1,"P"
"Cinetorhynchus reticulatus",1,"P"
"Uroptychus nebulosus",1,"P"
"Brusinia piriformis",1,"P"
"Alainodaeus akiaki",1,"P"
"Galathea autahi",1,"P"
"Pleurocolpus boileaui",1,"P"
"Galathea atua",1,"P"
"Bathypalaemonella serratipalma",1,NA
"Plesionika curvata",1,"P"
"Meractaea tafai",1,"E"
"Rata tuamotense",1,"E"
"Ciliopagurus pacificus",1,"P"
"Nanocassiope oblonga",1,"P"
"Paraxanthodes polynesiensis",1,"P"
"Lipkemera rufomaculata",1,"P"
"Munida descensa",1,"P"
"Gonionida columbae",1,"P"
"Neoliomera moana",1,"P"
"Banareia fatuhiva",1,"P"
"Epistocavea mururoa",1,"P"
"Medaeus grandis",1,"P"
"Munidopsis serricornis",1,NA
"Hypocolpus mararae",1,"E"
"Typhlonida oblonga",1,"P"
"Nematocarcinus poupini",1,"P"
"Raymunida cagnetei",1,"E"
"Bathypalaemonella pandaloides",1,"P"
"Enoplometopus holthuisi",1,"P"
"Micropagurus bijdeleyi",1,"P"
"Pagurixus icelus",1,"P"
"Alpheus albatrossae",1,"P"
"Gonionida rosula",1,NA
"Bathysquilla microps",1,"P"
"Icelopagurus crosnieri",1,"P"
"Catapagurus tanimbarensis",1,NA
"Sympagurus acinops",1,NA
"Nematopagurus spongioparticeps",1,NA
"Oncopagurus minutus",1,"P"
"Oreophorus horridus",1,NA
"Periclimenes carinidactylus",1,"P"
"Urocaridella antonbruunii",1,"D"
"Oreotlos pala",1,"D"
"Pilumnus longicornis",1,NA
"Alpheus coetivensis",1,"P"
"Enoplometopus occidentalis",1,"P"
"Clibanarius zebra var. rhabdodactylus",1,"P"
"Calocarcinus habei",1,"P"
"Petrolisthes coccineus",1,"P"
"Aniculus hopperae",1,"P"
"Catapaguroides iejimensis",1,"D"
"Pachygrapsus fakaravensis",1,"P"
"Thalamita macrospinifera",1,"P"
"Garymunida imitata",1,"P"
"Munida tuberculata",1,"P"
"Metapenaeopsis marquesas",1,"P"
"Enoplometopus gracilipes",1,"P"
"Platypodia tomentosa",1,"D"
"Parribacus scarlatinus",1,"E"
"Notosceles chimmonis",1,"P"
"Olenothus uogi",1,"P"
"Aulacolambrus hoplonotus",1,"P"
"Munida pulchra",1,"P"
"Ammothella stauromata",1,"P"
"Gonionida ducoussoi",1,"P"
"Paramunida spatula",1,"P"
"Plesionika poupini",1,"P"
"Plesionika payeni",1,"P"
"Plesionika rubrior",1,"P"
"Plesionika picta",1,"P"
"Nupalirus vericeli",1,"P"
"Plesionika flavicauda",1,"P"
"Acanthosquilla crosnieri",1,"P"
"Gonodactyloideus tricarinatus",1,"P"
"Ligur ensiferus",1,"P"
"Galathea rangi",1,"P"
"Galathea nuda",1,"P"
"Sphaerodromia ducoussoi",1,"P"
"Sadayoshia latisternata",1,"P"
"Poupinia hirsuta",1,"P"
"Cryptodromia marquesas",1,"E"
"Coriollianassa sibogae",1,"Q"
"Calappa sebastieni",1,"P"
"Oreotlos encymus",1,"E"
"Intesius crosnieri",1,"P"
"Heterocarpus ensifer",1,"P"
"Periglypta puerpera",1,NA
"Zoanthus pacificus",1,"P"
"Telmatactis decora",1,"P"
"Pocillopora solida",1,"P"
"Heteractis crispa",1,"P"
"Cladactella manni",1,"P"
"Porites irregularis",1,"P"
"Millepora exaesa",1,"P"
"Porites latistellata",1,"P"
"Palythoa ceresina",1,"P"
"Discosoma molle",1,"P"
"Stichodactyla tapetum",1,"P"
"Palythoa aggregata",1,"P"
"Cycloseris tenuis",1,"P"
"Sinularia variabilis",1,"P"
"Bunodeopsis medusoides",1,"P"
"Actinodactylus clavigerum",1,"P"
"Verrillactis paguri",1,"P"
"Montipora aspera",1,"P"
"Zoanthus ransoni",1,"P"
"Thecidellina maxilla",1,"P"
"Megerlia truncata",1,NA
"Tramea limbata",8,"Q"
"Brotula townsendi",1,"P"
"Strigatella fulvescens",1,"P"
"Cladopsammia eguchii",1,"P"
"Rhizopsammia verrilli",1,"P"
"Tubastraea micranthus",1,"P"
"Polycarpa pigmentata",1,"P"
"Ovula ovum",1,"P"
"Hiona radians",3,"E"
"Mautodontha aoraiensis",3,"E"
"Mautodontha zimmermani",3,"E"
"Physella acuta",2,"I"
"Liardetia intermedia",3,"E"
"Succinea wallisi",3,"E"
"Succinea infundibuliformis",3,"E"
"Libera micrasoma",3,"E"
"Succinea amoi",3,"E"
"Sinployea tahitiensis",3,"E"
"Allopeas kyotoense",3,"I"
"Pseudosuccinea columella",2,"I"
"Nesoropupa fontainei",3,"E"
"Succinea tahitensis",3,"E"
"Nesoropupa duodecim",3,"E"
"Fautor paradigmatus",1,"P"
"Calliostoma mesemorinon",1,"P"
"Tomostele musaecola",3,"I"
"Taheitia pallida",3,"E"
"Leptinaria unilamellata",3,"I"
"Helicina pisum",3,"P"
"Monomolgus torulus",1,"P"
"Kombia incrassata",1,"P"
"Metabetaeus mcphersonae",1,"P"
"Gorgocephalus yaaji",1,"P"
"Dichelopa sericopis",3,"E"
"Cleora esoterica",3,"E"
"Canthigaster compressa",1,NA
"Sebastapistes cyanostigma",1,"P"
"Pteroidichthys caussei",1,"P"
"Chrysiptera unimaculata",1,NA
"Idioblasta linearis",3,"E"
"Scaphechinus mirabilis",1,"P"
"Asymphorodes cicatricula",3,"E"
"Sargocentron iota",1,"P"
"Yama tahitiensis",3,"E"
"Erechthias aspera",3,"E"
"Cycloachelous suborbicularis",1,"P"
"Joeropsis minutus",1,"P"
"Atergatopsis signata",1,"P"
"Imma rotia",3,"E"
"Foa leisi",1,"E"
"Dichelopa paragnoma",3,"E"
"Epicephala spinula",3,"E"
"Aulacolambrus curvispinus",1,NA
"Simulium adamsoni",8,"E"
"Simulium bogusium",8,"E"
"Simulium concludium",8,"E"
"Simulium connae",8,"E"
"Simulium middlemissae",8,"E"
"Simulium fossatiae",8,"E"
"Simulium neoviceps",8,"E"
"Simulium hukaense",8,"E"
"Simulium anatolicum",8,"E"
"Simulium castaneum",8,"E"
"Simulium sublonckei",8,"E"
"Simulium pichoni",8,"E"
"Simulium arlecchinum",8,"E"
"Simulium mesodontium",8,"E"
"Simulium fararae",8,"E"
"Simulium jnabsium",8,"E"
"Simulium proctorae",8,"E"
"Simulium clibanarium",8,"E"
"Simulium joyae",8,"E"
"Simulium pallidicranium",8,"E"
"Simulium sechani",8,"E"
"Gardinerosergia bigemmea",1,"P"
"Czernyola palliseta",3,"E"
"Amblyeleotris periophthalma",1,"P"
"Oxyurichthys rapa",1,"E"
"Autosticha merista",3,"E"
"Asymphorodes regina",3,"E"
"Ephysteris longicornis",3,"E"
"Bootania moorea",3,"E"
"Plectranthias cirrhitoides",1,"E"
"Laganum boninense",1,"P"
"Glyphodes eudoxia",3,"E"
"Idioblasta acrogramma",3,"E"
"Conus tenuistriatus",1,"P"
"Asymphorodes leptotes",3,"E"
"Lycaea pulex",1,NA
"Rhynchonereella angelini",1,NA
"Paralbunea dayriti",1,"P"
"Pandarus satyrus",1,NA
"Asymphorodes hemileucus",3,"E"
"Spherillo vitiensis",3,"P"
"Metastrongylus elongatus",7,NA
"Gaillardiellus rueppelli",1,"P"
"Dichelopa pulcheria",3,"E"
"Coralliophila latilirata",1,"P"
"Coralliophila australis",1,"P"
"Alisimitra barazeri",1,"P"
"Oxymeris chlorata",1,"P"
"Polynesoecetes kekeae",1,"P"
"Etisus frontalis",1,"P"
"Fautaua diagonalis",3,"E"
"Pristipomoides filamentosus",1,"P"
"Amiantofusus pacificus",1,NA
"Brachysomophis henshawi",1,"P"
"Hysteroneura setariae",3,"I"
"Naupactus cervinus",3,"I"
"Herpetogramma cleoropa",3,"E"
"Hemicordulia oceanica",8,"E"
"Vespula vulgaris",3,"I"
"Semolina leucotricha",3,"E"
"Metasia gnorisma",3,"E"
"Ernophthora iospila",3,"E"
"Hyotissa numisma",1,"P"
"Cosmopterix diandra",3,"E"
"Anigraea ochrobasis",3,"I"
"Canthigaster papua",1,NA
"Carcharias taurus",1,NA
"Pervagor janthinosoma",1,NA
"Chaetodon meyeri",1,"P"
"Ctenochaetus cyanocheilus",1,NA
"Labroides pectoralis",1,"P"
"Strongylura incisa",1,"P"
"Parupeneus crassilabris",1,NA
"Chromis opercularis",1,NA
"Hemitaurichthys multispinosus",1,"P"
"Sarda orientalis",1,NA
"Cryptocentrus caeruleomaculatus",1,NA
"Pomacentrus moluccensis",1,NA
"Pomacentrus imitator",1,NA
"Stethojulis interrupta",1,NA
"Diagramma labiosum",1,NA
"Centropyge bicolor",1,NA
"Bodianus mesothorax",1,NA
"Paracirrhites nisus",1,"P"
"Valenciennea randalli",1,NA
"Cirrhitops hubbardi",1,"P"
"Lethrinus laticaudis",1,NA
"Pempheris vanicolensis",1,NA
"Amphiprion clarkii",1,NA
"Chromis nitida",1,"P"
"Canthigaster punctatissima",1,NA
"Scorpaenopsis oxycephala",1,"P"
"Labropsis australis",1,NA
"Mautodontha daedalea",3,"E"
"Terebra ligata",1,"P"
"Costabieta portentosa",1,"P"
"Pyrgulina ductaspiralis",1,"P"
"Babella planispiralis",1,"P"
"Pascula citrica",1,"P"
